id,State,ST,Fips,County,Precincts,Votes,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White,Black,Hispanic,Asian,Amerindian,Other,White  Asian,Sire Homogeneity,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,elevation,Annual Prcp,Winter Prcp,Summer Prcp,Spring Prcp,Autumn Prcp,Annual Tavg,Annual Tmax,Annual Tmin,Winter Tavg,Winter Tmax,Winter Tmin,Summer Tavg,Summer Tmax,Summer Tmin,Spring Tavg,Spring Tmax,Spring Tmin,Autumn Tavg,Autumn Tmax,Autumn Tmin,Nearest County,temp,precip,reporting,Est Votes Remaining,total16,total08,total12,other08,other12,Winner
0,Illinois,IL,17011,"Bureau County, Illinois",50.0,16303.0,10.8,89.2,16.1,5.4,76.6,26365.48064,90.55,0.6,0.2,0.7,0.85,7.1,16.6,7.5,34886,62.2,11.3,0.423,15.95,23.8,16.35,24.75,1.7,10.0,23.3,90.55,0.6,7.1,0.7,0.2,0.85,91.25,0.8251325,41.9,-89.5283772,41.40130429999999,,2.8,0.06,28.6,0.31,0.16399999999999998,0.31,0.096,176.3,47.5,0.129,0.095,92.52,,75.8,,211.35,3768.5,541.5,1292.0,1035.0,900.0,498.5,595.0,401.5,247.0,326.0,168.5,723.5,826.0,620.5,499.0,602.0,395.0,519.0,620.5,417.5,17011.0,9.916666667000001,957.199,50.0,0.0,16303.0,17113.0,16631.0,313.0,333.0,1
1,Georgia,GA,13075,"Cook County, Georgia",8.0,6038.0,27.8,72.2,10.4,3.5,79.05,22863.07143,65.25,28.05,0.1,0.35,0.8,5.4,25.0,24.0,16815,43.4,22.25,0.442,27.5,26.65,13.15,22.35,1.1,16.7,20.1,65.25,28.05,5.4,0.35,0.1,0.8,65.6,0.50742975,36.0,-83.4295515,31.152935,3.1,2.7,0.12,76.1,0.38,0.225,0.317,0.136,619.0,183.2,0.267,0.11199999999999999,299.64,9.35,75.4,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,6038.0,5903.0,6031.0,46.0,54.0,1
2,Michigan,MI,26019,"Benzie County, Michigan",13.0,10221.0,10.1,89.9,25.2,10.1,78.8,22436.426669999997,94.7,0.35,1.4,0.2,1.55,1.85,21.9,5.45,17482,52.2,11.05,0.406,17.0,31.0,20.55,24.0,1.2,11.65,11.55,94.7,0.35,1.85,0.2,1.4,1.55,94.9,0.89760375,44.7,-86.4943167,44.6486213,,2.5,0.08,26.0,0.311,0.121,0.316,0.113,269.4,,0.16699999999999998,0.1,118.07,,65.5,,262.3,3526.5,644.5,1034.5,786.0,1061.5,461.5,542.0,381.0,250.0,307.0,193.5,666.0,761.5,571.0,434.0,527.5,341.0,492.0,567.0,417.0,26019.0,7.8611111110000005,895.7310000000001,13.0,0.0,10221.0,10309.0,9901.0,171.0,141.0,1
3,Louisiana,LA,22091,"St. Helena Parish, Louisiana",11.0,5964.0,23.4,76.6,11.1,3.9,74.25,23648.06794,45.05,53.35,0.25,0.05,0.6,0.75,19.7,24.05,10854,30.9,21.15,0.475,24.3,19.3,26.0,22.65,2.45,18.65,11.0,45.05,53.35,0.75,0.05,0.25,0.6,45.1,0.48767125,38.3,-90.7093504,30.8214232,3.9,3.2,0.11,46.6,0.45399999999999996,0.21,0.375,0.14800000000000002,502.3,148.7,0.23600000000000002,0.111,673.19,,97.1,,68.06666667,6567.666667,1804.6666670000002,1811.6666670000002,1526.666667,1424.666667,,,,,,,,,,,,,,,,22091.0,,1668.187333,11.0,0.0,5964.0,6184.0,6394.0,95.0,85.0,0
4,Arkansas,AR,5009,"Boone County, Arkansas",23.0,16098.0,16.2,83.8,14.5,4.7,73.95,23571.0508,95.45,0.3,0.6,0.45,1.6,1.65,22.7,13.9,36622,44.1,16.0,0.451,21.25,25.8,15.5,31.3,0.9,9.9,16.55,95.45,0.3,1.65,0.45,0.6,1.6,95.9,0.91166375,40.6,-93.0792041,36.3043077,3.8,4.0,0.06,54.4,0.292,0.146,0.273,0.11800000000000001,288.8,56.7,0.198,0.071,284.67,7.88,88.8,7.2,338.9333333,4597.333333,895.6666667000002,1118.0,1348.333333,1235.333333,,,,,,,,,,,,,,,,5009.0,,1167.722667,23.0,0.0,16098.0,15474.0,15391.0,464.0,460.0,1
5,Kansas,KS,20153,"Rawlins County, Kansas",18.0,1448.0,8.3,91.7,19.8,4.2,79.9,20773.306669999998,96.3,0.15,0.2,0.1,1.05,2.15,31.15,9.15,2518,65.7,13.1,0.41100000000000003,20.6,44.55,13.3,23.15,3.95,7.15,7.85,96.3,0.15,2.15,0.1,0.2,1.05,96.4,0.92794875,50.4,-101.0767378,39.7861975,2.4,,,,0.264,,0.35200000000000004,0.11800000000000001,,,0.172,0.03,53.23,,,,938.4666667000001,2220.0,165.33333330000002,940.6666667000002,721.0,393.0,,,,,,,,,,,,,,,,20153.0,,563.88,18.0,0.0,1448.0,1549.0,1444.0,29.0,31.0,1
6,Kentucky,KY,21019,"Boyd County, Kentucky",46.0,20454.0,16.1,83.9,15.8,6.6,72.9,24189.00032,93.85,3.0,0.15,0.4,1.45,1.15,27.35,9.35,49105,35.7,18.35,0.47200000000000003,25.55,31.6,17.85,26.6,0.05,8.95,15.0,93.85,3.0,1.15,0.4,0.15,1.45,94.25,0.882043,41.4,-82.68140629999999,38.3600037,5.5,5.1,0.11,57.4,0.353,0.254,0.33899999999999997,0.14800000000000002,398.3,111.6,0.157,0.076,237.26,3.47,88.8,8.4,187.25,4430.0,993.5,1253.75,1246.0,936.75,550.75,659.5,441.75,349.5,441.0,258.0,742.0,850.25,634.25,543.0,662.5,423.25,564.75,680.5,448.5,21019.0,12.81944444,1125.22,46.0,0.0,20454.0,20670.0,19049.0,354.0,389.0,1
7,Virginia,VA,51109,"Louisa County, Virginia",16.0,17507.0,19.4,80.6,17.9,6.0,70.45,31250.91334,77.6,17.9,0.3,0.45,1.95,1.8,11.3,11.85,32407,31.3,11.0,0.426,12.15,29.35,14.75,24.8,0.85,14.9,15.35,77.6,17.9,1.8,0.45,0.3,1.95,78.05,0.6349505,42.3,-77.95917790000001,37.971680799999994,3.5,2.6,0.09,37.1,0.302,0.27699999999999997,0.34,0.11199999999999999,203.6,119.6,0.166,0.064,112.52,,72.6,,128.0,4418.0,916.0,1191.0,1118.0,1193.0,568.0,687.0,449.0,378.0,485.0,270.0,753.0,866.0,640.0,560.0,693.0,428.0,578.0,701.0,456.0,51109.0,13.77777778,1122.172,16.0,0.0,17507.0,15353.0,16452.0,193.0,284.0,1
8,North Carolina,NC,37183,"Wake County, North Carolina",202.0,510940.0,8.4,91.6,47.4,16.0,81.6,35147.96826,63.7,20.15,0.3,5.0,1.95,9.05,13.9,7.05,864876,54.6,9.55,0.439,11.8,48.4,12.5,24.8,0.15,7.7,6.4,63.7,20.15,9.05,5.0,0.3,1.95,68.7,0.45745075,34.1,-78.650624,35.789846399999995,2.8,2.6,0.08,26.2,0.275,0.129,0.248,0.07,533.6,364.0,0.154,0.075,273.93,3.63,38.4,6.6,115.6428571,,,,,,,,,,,,,,,,,,,,,37183.0,,,202.0,0.0,510940.0,442245.0,486427.0,4353.0,7569.0,0
9,West Virginia,WV,54091,"Taylor County, West Virginia",19.0,6498.0,16.6,83.4,14.5,3.4,78.7,24453.28,97.1,0.8,0.2,0.35,0.8,0.75,23.85,15.5,16541,57.9,14.6,0.41600000000000004,19.7,26.25,17.1,25.6,0.65,13.85,16.55,97.1,0.8,0.75,0.35,0.2,0.8,97.45,0.9430415000000001,42.1,-80.0456287,39.3290724,5.7,4.1,0.08,44.5,0.281,0.256,0.32799999999999996,0.11699999999999999,136.0,41.6,0.188,0.07,11.84,,74.1,,365.8,4814.0,1024.0,1435.0,1315.0,1040.0,512.0,619.0,406.0,315.0,407.0,224.0,695.0,799.0,592.0,503.0,622.0,384.0,532.0,646.0,419.0,54091.0,10.66666667,1222.756,19.0,0.0,6498.0,6203.0,5908.0,136.0,127.0,1
